station,longitude,latitude,glmN_Fig6_topL,glmW_Fig6_midL,glmF_Fig6_lowL,glmNse_Fig6_topR,glmWse_Fig6_midR,glmFse_Fig6_lowR,area_artReefs,area_platforms,N_artificialReefs,N_platforms,W_artificialReefs,W_platforms,F_artificialReefs,F_platforms,totalN_Fig7top,totalW_Fig7mid,totalF_Fig7low
1,-84.10909231,24.9944499,2.079464972,9.019147579,0.668068982,4.929466913,5.047642241,0.433973963,0,0,0,0,0,0,0,0,2.079464972,9.019147579,0.668068982
2,-84.01013012,24.99249251,0.563552134,2.522793658,0.187437337,1.105269095,1.538041738,0.134999079,0.000314159,0,0.03506049,0,0.153516676,0,0.011520889,0,0.598435579,2.675517775,0.19889934
3,-83.91117849,24.99046946,1.666506339,7.249438022,0.53713732,3.885523902,4.081729695,0.351807035,0,0,0,0,0,0,0,0,1.666506339,7.249438022,0.53713732
4,-83.81223777,24.98838077,2.64180525,11.42902325,0.846363225,6.351494078,6.365789579,0.54607625,0,0,0,0,0,0,0,0,2.64180525,11.42902325,0.846363225
5,-83.7133083,24.98622647,12.56100512,64.7206187,5.137315863,19.38472453,63.33394551,6.094549415,0,0,0,0,0,0,0,0,12.56100512,64.7206187,5.137315863
6,-83.61439044,24.9840066,24.47894715,124.2288388,10.52235155,74.39206581,96.60403987,9.221136248,0,0,0,0,0,0,0,0,24.47894715,124.2288388,10.52235155
7,-83.51548453,24.98172117,21.52499419,109.3211681,9.258428066,65.2390606,85.39383629,8.154865102,0,0,0,0,0,0,0,0,21.52499419,109.3211681,9.258428066
8,-83.41659091,24.97937024,16.41115013,79.24465167,6.295048093,26.03204694,47.53583678,4.566067042,0,0,0,0,0,0,0,0,16.41115013,79.24465167,6.295048093
9,-83.31770994,24.97695382,13.21541173,63.88504134,5.074593117,20.88387116,38.68759383,3.717427404,0,0,0,0,0,0,0,0,13.21541173,63.88504134,5.074593117
10,-83.21884196,24.97447195,3.842885917,15.52358434,1.203009876,11.01272807,10.19844267,0.91744957,0,0,0,0,0,0,0,0,3.842885917,15.52358434,1.203009876
11,-83.11998731,24.97192466,1.751682336,7.297105609,0.566350579,5.027410208,5.232371563,0.475868448,0,0,0,0,0,0,0,0,1.751682336,7.297105609,0.566350579
